I believe in America.|我相信美国
And we hope you'll sign a contract to appear five times a year.|我们希望你能签署一份合同, 一年来这儿登台5次
Perhaps convince some of your friends in the movies to do the same.|也许可以说服你在电影圈中的一些朋友也这么做
We're counting on you.|我们指望着你
Sure, Mike.|应该的, 迈克
I'll do anything for my godfather. You know that.|我愿意为我的教父做任何事. 你知道的
Good.|很好
Hey, Mike. Hello, fellas.|嘿, 迈克. 各位好
Everybody's here. Freddy, Tom.|大家都在这. 弗雷多, 汤姆
-Good to see you, Mike. How are you, Moe?|-很高兴见到你, 迈克  -你好吗, 莫?
Did you got everything you want?|你点的菜都到齐了吗?
The chef cooked for you special|厨师为你做了特色菜
the dancers will kick your tongue out and your credit is good.|舞蹈会让你把舌头伸出来, 你的信用很好
Draw chips for everybody in the room so they can play on the house.|给屋子里的每个人都弄点筹码来, 他们可以在房间里玩了
My credit good enough to buy you out?|我的信用好到可以买下你的股份吗?
Buy me out?|买断我的股份?
The casino. The hotel.|赌场和酒店
The Corleone family wants to buy you out.|柯里昂家族想买下你全部的股份
The Corleone family wants to buy me out?|柯里昂家族想买下我全部的股份?
No, I buy you out. You don't buy me out.|不, 我可以买下你的股份, 你不能买断我的股份
Your casino loses money.|你的赌场在赔钱
Maybe we can do better.|也许我们可以经营得更好
You think I'm skimming off the top, Mike?|你认为我在走下坡路了, 迈克?
You're unlucky.|你运气不好
You goddamn guineas really make me laugh.|你他妈的别让我笑了
I do you a favor and take Freddy in|在你们倒霉的时候
when you're having a bad time|我帮你们的忙, 收留了弗雷迪
and now you try to push me out!|现在你却想把我赶出去!
Wait a minute.|慢着
You took Freddy in|你收留弗雷迪
because the Corleone family bankrolled your casino|是因为柯里昂家族资助了你的赌场
because the Molinari family|因为海滨的莫伦纳里家族
on the coast guaranteed his safety.|保证了他的安全
Now, we're talkin' business. Let's talk business.|现在, 我们在谈正事. 我们谈谈生意吧
Yeah, let's talk business, Mike.|好, 我们来谈生意, 迈克
First of all, you're all done.|首先, 你们都完蛋了
The Corleone family don't have that kind of muscle anymore.|柯里昂家族已经没有那么强大的力量了
The Godfather's sick, right?|教父生病了, 对吧?
You're getting chased out of New York by Barzini and the other families.|你们正在被巴西尼和其它家族赶出纽约
What do you think going on here?|你以为这里是什么?
You think you can come to my hotel and take over?|你觉得你可以来我的酒店接手吗?
I talked to Barzini.|我和巴西尼谈过了
I can make a deal with him|我可以和他做一笔交易
and still keep my hotel.|仍然能保住我的酒店
Is that why you slapped my brother around in public?|这就是你在大庭广众之下扇我哥哥耳光的原因吗?
Ah, no, that was nothing, Mike.|啊, 不, 那没什么, 迈克
Moe didn't mean nothin' by that.|莫也不是故意的
Sure he flies off the handle once in a while|当然他偶尔也会发脾气
but Moe and me, we're good friends, right Moe, huh?|但莫和我, 我们是好朋友, 对吧莫, 嗯?
I got a business to run.|我是在做事业
I gotta kick asses sometimes to make it run right.|有时候我得狠揍他才能让事情顺利
We had a little argument, Freddy and I|发生了一点争执, 弗雷迪和我
so I had to straighten him out.|所以我不得不把他摆正
You straightened my brother out?|你把我哥哥摆正?
He was banging cocktail waitresses two at a time!|他一次撞了两个鸡尾酒女招待!
Players couldn't get a drink.|弄得客人喝酒没人送
What's wrong with you?|你是怎么回事?
I leave for New York tomorrow.|我明天回纽约
Think about a price.|你考虑一个价钱吧
Do you know who I am? I'm Moe Greene.|你知道我是谁吗? 我是莫·格林
I made my bones when you were going out with cheerleaders.|我是在你和拉拉队员约会的时候出道的
Wait a minute, Moe. Moe, I got an idea.|等一下, 莫.  莫, 我有个主意
Tom, you're the consigliere.|汤姆, 你是军师
You can talk to the Don. You can explain...|你可以和教父谈. 你可以解释...
Just a minute. The Don is semiretired.|慢着, 老头子已经半退休了
Mike is in charge of the business now.|迈克现在负责业务
If you have anything to say, say it to Michael.|你有话就向迈克尔说吧
Mike, You don't come to Las Vegas|迈克尔, 你不能来到拉斯维加斯
and talk to a man like Moe Greene like that!|和莫·格林那样的人这么说话!
Fredo... You're my older brother, and I love you.|弗雷多... 你是我哥哥, 我爱你
But don't ever take sides with anyone against the family again.|但别再和任何人站在一起反对自己的家族
Ever.|任何时候
I have to see my father and his people.|我必须去看看我父亲和他的手下人
Have dinner without me.|你们先吃饭吧
Oh, Michael.|哦, 迈克尔
This weekend we'll go out. We'll go to the city.|这个周末我们要出去, 我们要去城里
We'll see a show and have dinner. I promise. -Mmm.|-我们去看演出, 然后吃晚餐. 我保证  -嗯
Oh, Michael., Michael|哦, 迈克, 迈克
Your sister wants to ask you something.|你姐姐想问你点事
-Let her ask. -She's afraid to.|-让她问吧  -她不敢
Connie and Carlo want you to be godfather to their little boy.|康妮和卡洛想让你做他们孩子的教父
-We'll see. -Will you?|-我们再说吧  -你会吗?
Let me think about it. We'll see. Come on.|让我考虑一下, 到时再说. 来吧
So... Barzini will move against you first.|所以… 巴西尼会先对付你
He'll set up a meeting with someone that you absolutely trust|他会找个你绝对信任的人来安排见面
guaranteeing your safety.|并保证你的安全
And at that meeting, you'll be assassinated.|但你一出席会议, 他就杀了你
I like to drink wine more than I used to.|我现在比以前爱喝酒了
Anyway, I'm drinking more.|而且越爱喝就喝得越多
It's good for you, Pop.|这对你有好处, 爸爸
I don't know.|我不知道
Your wife and children, are you happy with them?|你的妻子和孩子, 你和他们在一起快乐吗?
Very happy.|非常快乐
That's good.|这样很好
I hope you don't mind the way I... I keep going over this Barzini business.|我希望你不介意我… 我一直在谈巴西尼的事
No, not at all.|不, 一点也不
It's an old habit.|这是我的老习惯
I spent my life tryin' not to be careless.|我一生都在努力不让自己粗心大意
Women and children can be careless, but not men.|女人和孩子可以粗心大意, 但男人不行
-How's your boy? -He's good.|-你儿子怎么样?  -很好
You know, he looks more like you every day.|你知道, 他越来越像你了
He's smarter than I am.|他比我聪明
Three years old, he can read the funny papers.|才3岁, 就看得懂漫画了
He reads the funny papers.|他看有趣的漫画
Uh...|嗯...
I want you to arrange to have a telephone man|我想让你安排一个电话接线员
check all the calls that go in and out of here...|检查所有进出这里的电话...
-I did it already, Pop.  -Could be anyone.|-我已经做了, 爸爸  -任何人都有可能
-I took care of that. -Oh, that's right. I forgot.|-我已经处理好了  -哦, 没错. 我忘了
What's the matter?|怎么回事?
What's bothering you?|什么事困扰着你?
I'll handle it. I told you I can handle it, I'll handle it.|我应付得了. 我告诉过你我能应付, 我会应付
I knew that Santino was gonna have to go through all this.|我知道桑蒂诺会染指家族事业
and Fredo...|还有弗雷多...
Fredo was...|弗雷多他...
But I never... I never wanted this for you.|但我从来... 从来没想让你参与
I worked my whole life. I don't apologize|我干了一辈子. 我不道歉
to take care of my family.|我照顾了我的家人
And I refused to be a fool|我拒绝做一个傻瓜
dancing on a string held by all those big shots.|在那些大人物牵着的绳子上跳舞
I don't apologize. That's my life. But I thought that...|我不道歉. 这就是我的生活. 但我认为…
That when it was your time, that you would be the one to hold the strings.|这是你的时代, 你会是那个牵着绳子的人
Senator Corleone.|柯里昂参议员
Governor Corleone. Something.|柯里昂州长, 之类的
Another pezzonovante.|另一个大人物
Well...|这个...
Just wasn't enough time, Michael. Wasn't enough time.|只是时间不够, 迈克尔. 时间不够了
We'll get there, Pop.|我们会做到的, 爸爸
-We'll get there. -Hmm.|-我们会做到的  -嗯
Now listen|你听好
whoever comes to you with this Barzini meeting|不管是谁来找你跟巴西尼见面
he's the traitor.|他就是叛徒
Don't forget that.|别忘了这一点
Can I water these.|我能自己浇水
-Can I water these? -Yeah.|-我可以浇水吗?  -可以
That's fine.|浇吧
Over here. Over here.|这里. 浇这里
Be careful. You're spilling it.|小心点, 你把它洒了
Anthony, come here, come here.|安东尼, 过来, 过来
Come here.|过来
That's right. We'll put it right there.|对了. 我们把它放在这儿
I'll show you something.|我给你看样东西
Come here, come here.|过来, 过来
Now, you stand there.|你站好了
Give me an orange!|把橙子给我!
That's a new trick.|这是新戏法
You run in there. Run in there.|你跑进去. 快跑进去
-Where are you? -Who?|-你在哪儿?  -谁?
Ouch!|倒下!
Mike, can I have a minute?|迈克, 能借一步说话吗?
Barzini wants to arrange a meeting.|巴西尼想要安排一次会议
He says we can straighten any of our problems out.|他说任何问题都可以谈出一个解决之道
-You talked to him? -Yeah.|-你和他谈过了?  -是的
I can arrange security.|我可以安排保护措施
On my territory. All right?|在我的地盘上. 好吗?
-All right. -All right.|-好  -好的
Do you know how they're gonna come at you?|你知道他们会怎么对付你吗?
They're arranging a meeting in Brooklyn.|他们正在布鲁克林安排一次会议
Tessio's ground.|泰西欧的地盘
where I'll be safe.|说在那儿我会很安全
I always thought it would've been Clemenza, not Tessio.|我一直以为是克莱门扎, 没想到是泰西欧
It's the smart move. Tessio was always smarter.|这一招漂亮. 泰西欧一向聪明
But I'm gonna wait.|但我要等
After the baptism.|等洗礼过了再说
I've decided to be godfather to Connie's baby.|我决定当康妮孩子的教父了
And then I'll meet with Don Barzini|然后我去见巴西尼阁下
and Tattaglia.|还有塔塔基利亚
All the heads of the five families.|所有五大家族的族长
Amen.|阿门
Michael, do you believe in God|迈克尔, 你相信上帝
the Father Almighty creator of Heaven and Earth?|全能的天父, 天地的创造者吗?
I do.|我相信
Do you believe in Jesus Christ, his only Son, our Lord?|你相信耶稣基督, 他唯一的儿子, 我们的主吗?
I do.|我相信
Do you believe in the holy Ghost, the holy Catholic Church?|你相信圣灵, 神圣的天主教会吗?
I do.|我相信
Michael Francis Rizzi|迈克尔·弗朗西斯·里兹
do you renounce Satan?|你放弃了撒旦吗?
I do renounce him.|我声明放弃了他
And all his works?|他所有的作为吗?
I do renounce them.|我确实放弃了它们
And all his pomps?|还有他所有的浮华?
I do renounce them.|我确实放弃了它们
Michael Rizzi|迈克尔·里兹
will you be baptized?|你愿意接受洗礼吗?
I will.|我愿意
Michael Rizzi, go in peace.|迈克尔·里兹, 平静地走吧
And may the Lord be with you. Amen.|愿主与你同在. 阿门
Kay!|凯!
Kiss your godfather.|亲吻你的教父
-Carlo. -What?|-卡洛 -什么事?
Can't go to Vegas.|不能去拉斯维加斯了
Something's come up. Everybody has to leave without us.|出了点事, 每个人都得离开, 除了我们
-Oh, Mike, it's our first vacation together. -Connie, please.|-哦, 迈克, 这是我们第一次一起度假 -康妮, 别吵
-What do you wanna do? -Go back to the house. Wait for my call. It's important.|-你要我怎么做?  -回家去等我电话, 有重要的事
All right|好的
I'll only be a couple of days.|我只去几天
Have a nice trip, Mama.|旅途愉快, 妈妈
We're on our way to Brooklyn.|我们在去布鲁克林的路上
I hope Mike can get us a good deal tonight.|我希望迈克今晚能给我们一笔好交易
I'm sure he will.|我相信会的
Sal, Tom|萨尔, 汤姆
the boss says he'll come in a separate car.|老板说他会单独坐一辆车来
He says for you two to go on ahead.|他说让你们俩先走
He can't do that.|他不能那么做
-It screws up all my arrangements. -That's what he said.|-它打乱了我所有的安排  -他是这么说的
I can't go either, Sal.|我也不能去, 萨尔
Tell Mike it was only business.|告诉迈克这纯粹是生意
I always liked him.|我一直都喜欢他
He understands that.|他明白这一点
Excuse me, Sal.|抱歉, 萨尔
Tom, Can you get me off the hook?|汤姆, 能帮我求个情吗?
-For old times' sake. -Can't do it, Sally.|-看在老交情的份上 -我做不到, 萨尔
You have to answer for Santino, Carlo.|你得为桑蒂诺的死偿命, 卡洛
Mike, you got it all wrong. -You fingered Sonny for the Barzini people.|-迈克, 你完全搞错了 -你为巴西尼的人设计害了桑尼
Ah, that little farce you played with my sister.|啊, 你和我姐姐演的那场小闹剧
Did you think that could fool a Corleone?|以为骗得过柯里昂家的人吗?
Mike, I'm innocent.|迈克, 我是清白的
I swear on the kids.|我以孩子的名义发誓
-Please, Mike, don't do this to me. -Sit down.|-求你, 迈克, 别这样对我 -坐下
Don't do this to me, please.|别这样对我, 求你了
Barzini's dead.|巴西尼死了
So is Phillip Tattaglia.|菲利普·塔塔基利亚也死了
Moe Greene, Strachi, Cuneo.|还有莫·格林, 斯特拉奇, 库尼奥
Today I settle all family business|今天我要解决所有家族事务
so don't tell me you're innocent, Carlo.|所以别跟我说你是无辜的, 卡洛
Admit what you did.|承认你所做过的
Get him a drink.|给他拿杯喝的
Come on.|说吧
Don't be afraid, Carlo.|别害怕, 卡洛
You think I'd make my sister a widow?|你以为我会让我姐姐当寡妇吗?
I'm godfather to your son, Carlo.|我又是你儿子的教父, 卡洛
Go ahead, drink, drink.|喝吧, 喝吧
No, Carlo. you're out of the family business. That's your punishment.|卡洛, 从此你退出家族的生意. 这是给你的惩罚
You're finished. I'm putting you on a plane to Vegas.|你玩完了. 我送你上飞机去拉斯维加斯
Tom.|汤姆
-I want you to stay there. Understand? -Mmm-hmm.|-我要你留在那边. 明白吗?  -嗯嗯
Only don't tell me you're innocent.|只是别告诉我你是无辜的
because it insults my intelligence.|因为这侮辱了我的智商
It makes me very angry.|这让我很生气
Now, who approached you?|告诉我, 是谁找的你?
Tattaglia or Barzini?|塔塔基利亚还是巴西尼?
It was Barzini.|是巴西尼
Good.|好
There's a car waiting for you outside to take you to the airport.|外面有辆车在等着你, 会送你去机场
I'll call your wife, tell her what flight you're on.|我会给你妻子打电话, 告诉她你坐的是哪班飞机
-Mike... -Get out of my sight.|-迈克...  -滚出我的视线
Hello, Carlo.|你好, 卡洛
Will you stop crying? What are you trying to tell me?|你能不能别哭了? 你想告诉我什么?
-I'm telling you you're wrong. -Oh, Mama, please!|-我告诉你你错了 -妈妈, 求你了!
Michael! Michael!|迈克尔! 迈克尔!
-What is it? -Where is he? Michael!|-怎么了?  -他在哪儿? 迈克尔!
Michael, you lousy bastard! You killed my husband!|麦克, 你这混蛋! 你杀了我丈夫!
You waited until Papa died so nobody could stop you|你一直等到爸爸去世, 没人能管你了
and then you killed him!|所以你就把他杀了!
You blamed him for Sonny.|你把桑尼的死怪在他头上
You always did. Everybody did.|你一直都这样, 大家都这样
But you never thought about me!|但你从来没有想过我!
You never gave a damn about me!|你根本就不在乎我!
Now what am I gonna do?|我以后要怎么办?
Connie.|康妮
Why do you think he kept Carlo at the mall?|你以为他为什么把卡洛留在他身边?
All the time he knew he was gonna kill him.|他一直都知道他会杀了他
And you stood godfather to our baby.|你还是我们孩子的教父
You lousy, coldhearted bastard.|你这个卑鄙无情的混蛋
Want to know how many men he had killed with Carlo?|想知道除了卡洛, 他同时还杀了多少人吗?
Read the papers! Read the papers!|看看报纸吧! 看看报纸吧!
That's your husband! That's your husband!|那就是你丈夫! 那就是你丈夫!
No! No, no...|不要! 不要, 不...
Take her upstairs.|带她上楼
-Get her a doctor. -Oh, God!|-给她找个医生  -哦, 上帝!
She's hysterical.|她歇斯底里了
Hysterical.|歇斯底里
Michael, is it true?|迈克尔, 这是真的吗?
-Don't ask me about my business, Kay. -Is it true?|-别过问我的生意, 凯 -这是真的吗?
Don't ask me about my business.|别过问我的生意
-No -Enough!|-不  -够了!
All right.|好吧
This one time.|就这一次
This one time, I'll let you ask me about my affairs.|就这一次, 我让你过问我的公事
Is it true?|这是真的吗?
No.|不是
I guess we both need a drink, huh?|我想我们两个都需要喝一杯, 是吧?
Come on.|我去倒
Don Corleone.|柯里昂阁下
